날짜,팀1,팀2,점수1,점수2,승리팀,경기ID
2026-01-25 11:15,"강동원, 최지혜","아이유, 한효주",6,4,"강동원, 최지혜",
2026-01-25 11:15,"정우성, 김철수","박민수, 이영희",3,6,"박민수, 이영희",
2026-01-25 11:18,"정우성, 강동원","박민수, 한효주",6,4,"정우성, 강동원",20260125111820.0
2026-01-25 11:18,"최지혜, 김철수","이영희, 아이유",2,6,"이영희, 아이유",20260125111822.0
2026-01-25 11:28,"최지혜, 박민수","김철수, 한효주",6,3,"최지혜, 박민수",20260125112819.0
2026-01-25 11:28,"이영희, 정우성","강동원, 아이유",6,0,"이영희, 정우성",20260125112820.0
2026-01-25 11:35,"최지혜, 박민수","김철수, 한효주",6,3,"최지혜, 박민수",20260125113510.0
2026-01-25 11:35,"이영희, 정우성","강동원, 아이유",6,0,"이영희, 정우성",20260125113511.0
2026-01-25 11:48,"정우성, 장나라","신훈선, 카더가든",6,4,"정우성, 장나라",20260125114814.0
2026-01-25 11:48,"이경용, 서명수","이승철, 고윤정",2,6,"이승철, 고윤정",20260125114815.0
2026-01-25 11:51,"장나라, 아이유","서명수, 이승철",6,2,"장나라, 아이유",20260125115127.0
2026-01-25 11:51,"박보검, 고윤정","이경용, 정우성",6,4,"박보검, 고윤정",20260125115135.0
2026-01-25 11:51,"서명수, 고윤정","박보검, 장나라",1,6,"박보검, 장나라",20260125115141.0
2026-01-25 11:51,"이경용, 정우성","카더가든, 신훈선",6,3,"이경용, 정우성",20260125115157.0
2026-01-25 11:52,"아이유, 장나라","카더가든, 고윤정",6,5,"아이유, 장나라",20260125115207.0
2026-01-25 11:52,"이경용, 이승철","신훈선, 서명수",6,4,"이경용, 이승철",20260125115212.0
2026-01-25 11:52,"아이유, 박보검","카더가든, 신훈선",6,1,"아이유, 박보검",20260125115219.0
2026-01-25 11:52,"장나라, 이승철","고윤정, 정우성",4,6,"고윤정, 정우성",20260125115225.0
2026-01-25 11:52,"이승철, 이경용","카더가든, 신훈선",5,6,"카더가든, 신훈선",20260125115232.0
2026-01-25 11:52,"정우성, 아이유","서명수, 박보검",6,3,"정우성, 아이유",20260125115237.0
2026-01-25 12:06,"신훈선, 박보검","카더가든, 고윤정",7,5,"신훈선, 박보검",20260125120607.0
2026-01-25 12:27,"박보검, 서명수","장나라, 카더가든",6,2,"박보검, 서명수",20260125122738.0
2026-01-25 12:27,"박보검, 서명수","정우성, 신훈선",6,4,"박보검, 서명수",20260125122751.0
2026-01-25 12:27,"아이유, 이경용","고윤정, 이승철",6,3,"아이유, 이경용",20260125122752.0
2026-01-25 12:28,"박보검, 서명수","아이유, 이경용",6,5,"박보검, 서명수",20260125122801.0
2026-01-25 13:06,"장나라, 카더가든","아이유, 이승철",6,4,"장나라, 카더가든",20260125130649.0
2026-01-25 13:23,"아이유, 박보검","이승철, 서명수",6,5,"아이유, 박보검",20260125132339.0
2026-01-25 13:23,"박보검, 아이유","장나라, 신훈선",6,2,"박보검, 아이유",20260125132344.0
2026-01-25 13:23,"이경용, 아이유","서명수, 신훈선",4,6,"서명수, 신훈선",20260125132353.0
2026-01-25 13:24,"이승철, 이경용","서명수, 박보검",5,6,"서명수, 박보검",20260125132400.0
2026-01-25 13:24,"아이유, 이승철","박보검, 신훈선",2,6,"박보검, 신훈선",20260125132407.0
2026-01-25 13:24,"신훈선, 장나라","박보검, 아이유",4,6,"박보검, 아이유",20260125132416
